algorithm,seed,runtime_s,objective_calls,pareto_size,best_raroc,best_cvar,hv,igd,na_triggers,na_evals,accepted_moves
MOEA/D,10,0.1611919403076172,800,43,0.9121179008055297,5784838.602662264,0.6151129515731322,0.3309235438617388,,,
SPEA2,1,0.07642388343811035,800,5,1.3607499601057607,3422285.376512693,0.8400098536382825,0.2097247497502983,,,
SPEA2,2,0.07670021057128906,800,4,1.4599382280282351,3895675.6572129144,0.847124439553875,0.2164015347184716,,,
SPEA2,3,0.07607173919677734,800,3,1.1210781727143606,6326217.925675821,0.6343820084987725,0.36197557677713416,,,
SPEA2,4,0.075531005859375,800,3,0.9311784582245605,3834861.3836391103,0.6982098843763204,0.2826407898693564,,,
SPEA2,5,0.07438206672668457,800,3,1.1710413495191339,2999418.478440642,0.8196672994111613,0.18251600897813905,,,
SPEA2,6,0.0744786262512207,800,5,1.4496505171156802,3035632.0890060305,0.8885670659942301,0.18493522220261954,,,
SPEA2,7,0.0739741325378418,800,7,1.38795704264948,2641015.0749009578,0.8956761734129228,0.16334025715210135,,,
SPEA2,8,0.07464289665222168,800,5,1.2602983125477174,3417350.497257525,0.8173813590196305,0.21151654915657603,,,
SPEA2,9,0.0764472484588623,800,7,1.0232912816060016,4745059.183715937,0.6658285041518206,0.33235313284821977,,,
SPEA2,10,0.07490324974060059,800,4,1.4678563706374403,3562435.8286049794,0.8757993260687695,0.1784164318356186,,,
